title,price,location,postdate
1 bedroom available,$220,Mona Vale,Yesterday
Furnished bedroom for rent 5min walk to station $155p/w,$155,Berala,Yesterday
Rooms  in Utimo for female,$250,Ultimo,Yesterday
Room Available - Zetland - private room with own bathroom,$380,Zetland,Yesterday
BEAUTIFUL CLEAN! SINGLE ROOM EXCELLENT LOCATION,$220,Glebe,Yesterday
GLEBE BEAUTIFUL Double Room for 2 - ONE WEEK FREE,$260,Glebe,Yesterday
2 rooms available in Bondi - ocean views !,$360,Bondi,Yesterday
Room for rent $220,$220,Blacktown,Yesterday
"Furnished rooms near Top Ryde centre, TAFE and Meadowbank station",$200,Ryde,Yesterday
Single and couple bedrooms for rent near Macquarie Park metro station,$249,North Ryde,Yesterday
Single rooms for rent in Strathfield,$190,Strathfield,4 hours ago
"Private and shared rooms for singles and couples, Macquarie Park metro",$180,North Ryde,Yesterday
Room in the heart of sydney,$290,North Sydney,Yesterday
single room $70 double $150 weekly no bills,$70,Kingsgrove,Yesterday
Furnished Rooms in Share House Bondi North,$155,North Bondi,Yesterday
House Share,$140,Kogarah,Yesterday
"2 rooms for rent in West Ryde share house, bills   house supplies Inc",$190,West Ryde,Yesterday
"Blacktown Room for Rent, Houseshare & Flatshare",$170,Blacktown,Yesterday
Two semi furnished rooms available,$175,Springwood,Yesterday
"Bright, Spacious Bedroom with Own Bathroom",$260,Neutral Bay,Yesterday
Glebe share house or self contained studio,$200,Glebe,Yesterday
SUNNY ROOM in DARLINGTON,$180,Darlington,Yesterday
Room in Ashfield for rent,$250,Ashfield,Yesterday
Room to let,$190,Hornsby,Yesterday
Coogee/Clovelly,$260,Clovelly,Yesterday
Room for Rent,$175,Punchbowl,Yesterday
Free 1 week Coogee accomodation for interior designer,,Coogee,Yesterday
"XL Bedroom, bills included, convenient location, great atmosphere",$210,Homebush,Yesterday
Epping st nearby Share unit,$200,Epping,Yesterday
Furnished private room for rent,$160,Rydalmere,Yesterday
"2 big room in very big  BEAUTIFUL  house,bills include,Merrylands",$170,Merrylands,Yesterday
Looking for female house mate only,$135,Minto,Yesterday
Single room available in Ultimo - free wifi & Foxtel,$200,Ultimo,Yesterday
Queen room available in Ultimo - free wifi & Foxtel,$295,Ultimo,Yesterday
Room For Rent - Kellyville Ridge,$180,Kellyville Ridge,Yesterday
bedroom divided from living area,$120,Parramatta,Yesterday
4Mins walk from Rockdale stn-Furnished private room $159pw-bills incld,$159,Rockdale,Yesterday
Room available for rent,$130,Harris Park,Yesterday
Large Bright EnSuite available in Lovely 2BR Share apartment Oceanview,$370,Bondi Junction,09/09/2020
180 meters away from Merrylands station,$175,Merrylands,09/09/2020
Spacious Room available near Station,$200,Seven Hills,09/09/2020
"Nicely furnished master room at Central, China own and UTS. No minimum",$350,Haymarket,09/09/2020
Room rent,$170,Blacktown,09/09/2020
"Superior single room near Central, Sydney uni and UTS. No minimum",$160,Ultimo,09/09/2020
Room for a single or a couple in Sydney CBD,$370,Sydney City,09/09/2020
Room for rent,$300,Roseville,09/09/2020
Cheap room for rent in luxury new brand apartment,$150,Homebush West,09/09/2020
Chatswood Sharing Accomodation,$330,Chatswood,09/09/2020
Room for rent,$100,Narwee,09/09/2020
Looking for two girls or couple to share our another room in Guildford,$90,Guildford,09/09/2020
Sunny beachside room in Coogee,$350,Coogee,09/09/2020
Single room for rent,$250,Mosman,09/09/2020
Furnished room for rent at ashfield 2 min far from station,$250,Ashfield,09/09/2020
Room for Rent,$180,Wentworthville,09/09/2020
Wanted: Room for a rent,$100,Quakers Hill,09/09/2020
HUGE DOUBLE BEDROOM FOR RENT @WOLLI CREEK,$300,Wolli Creek,09/09/2020
House to Share Campsie,$220,Campsie,09/09/2020
"Strathfield, Furn 1Lrg bedrm & MBdrm ensuite. Sh wid Indian Profnal",$190,Strathfield,09/09/2020
A room is available in   North Balgowlah $220,$220,Newport,09/09/2020
"Strathfield, Furn 1Lrg bedrm & MBdrm ensuite. Sh wid Indian Profnal",$190,Strathfield,09/09/2020
A room is available in   North Balgowlah $220,$220,Newport,09/09/2020
Room for rent,$250,Rockdale,09/09/2020
Eastwood Room for rent close to shops and public transportation,$145,Eastwood,09/09/2020
Room available,$200,Parramatta,09/09/2020
Share accommodation for female,$200,Marsden Park,09/09/2020
Room for rent,$180,Berala,09/09/2020
single Bedroom with private bathroom,$220,Riverwood,09/09/2020
Large room in a luxury apartment in Sydney Chatswood,$260,Chatswood,09/09/2020
Share accommodation for female,$200,Marsden Park,09/09/2020
"Master bedroom, westmead station",$195,Westmead,09/09/2020
A quiet & secure room in a shared granny flat,$145,Padstow,09/09/2020
Nice room near Macquarie University,$160,Marsfield,09/09/2020
Room available,$280,Chatswood,09/09/2020
Room for rent(only girls),$130,Blacktown,09/09/2020
Fully Furnished Room with Ensuite Air con Wifi   Bills included!,$190,Hebersham,09/09/2020
FLATSHARE BLACKTOWN Great location!!,$140,Blacktown,09/09/2020
🔥🔥 Room available for a boy at Auburn 4 mins from station.🔥🔥,$125,Auburn,09/09/2020
new big room for rent student,$170,St Marys,09/09/2020
Happy Nice Room for Rent,$245,Bexley North,09/09/2020
Master room at Hurstville close to station look for female roommate,$280,Hurstville,09/09/2020
Wanted: Privite living at CBD,$190,Sydney City,09/09/2020
Large room for rent in Park Central,$250,Campbelltown,09/09/2020
Spacious Room for Rent  Eastgardens,$230,Eastgardens,09/09/2020
PRIVATE room in Eastlakes,$180,Eastlakes,09/09/2020
Master Bedroom in City with own bathroom for rent,$290,Woolloomooloo,09/09/2020
Furnished Room near Parramatta station Available for Sharing,$150,Parramatta,09/09/2020
Room for rent or share,$110,Lakemba,09/09/2020
Room available for Rent in $120 at Hurstville,$120,Hurstville,09/09/2020
Room in Surry Hills near Central,$230,Surry Hills,09/09/2020
Room For Rent,$190,Harris Park,09/09/2020
Room for rent in Wentworthville,$200,Wentworthville,09/09/2020
Room for rent in Paddington,$495,Paddington,09/09/2020
Looking for a flat mate in a shared accommodation,$250,Parramatta,09/09/2020
Room available for Rent /girls only,$130,Blacktown,09/09/2020
hare ccomodation for akistani tudents $108 incl. bills,$106,Auburn,09/09/2020
Master bedroom for rent,$230,Merrylands,09/09/2020
Room available in Character Older Style Terrace House,$195,Zetland,09/09/2020
House share,$250,Beacon Hill,09/09/2020
Single room in Marrickville,$220,Marrickville,09/09/2020
Convenient Housing In Cherrybrook,$155,Cherrybrook,09/09/2020
Clean Large Twin Share $140 EACH  including bills,$140,Lakemba,09/09/2020
Single Room for Rent,$195,Epping,09/09/2020
room for rent,$200,Marrickville,09/09/2020
Room for rent,$300,Villawood,09/09/2020
2 rooms for share Theresa Park,$250,Theresa Park,09/09/2020
"CHIPPENDALE, SYDNEY UNI, UTS, BROADWAY BUSINESS/SHOP COMPLEX",$230,Chippendale,09/09/2020
Sunny Single Room - North Strathfield,$80,North Strathfield,09/09/2020
Sunny Single Room - North Strathfield,$80,North Strathfield,09/09/2020
Nice room in Merrylands,$160,Merrylands,09/09/2020
Room for rent,$190,Lakemba,09/09/2020
Private Large & Clean room Close to Lidcombe train station,$180,Lidcombe,09/09/2020
house for share in Ashfield,$210,Ashfield,09/09/2020
Private room for rent!,$175,North Parramatta,09/09/2020
Room for rent,$175,Elderslie,09/09/2020
Edgecliff - Massive OWN large room. No bills. Close to shops.,$250,Darling Point,09/09/2020
"Large Fully Furnished Ensuite Room in Petersham, Close to Station",$225,Petersham,09/09/2020
Flat share in Mount,$150,Mount Druitt,09/09/2020
160 parramatta Rd Stanmore NSW 2048,$200,Annandale,09/09/2020
Cottage opposite the Beach,$240,Ramsgate Beach,09/09/2020
Single Room in Cosy Apt at Coogee Beach (1st week FREE),$190,Coogee,09/09/2020
Wanted people for single and double rooms in Randwick,$125,Randwick,09/09/2020
"Burwood, Christian values, spacious clean, close shops, train bus,city",$190,Burwood,09/09/2020
Ideal Room for Rent in Marsfield!,$195,Marsfield,09/09/2020
Room for rent female/ couple,$180,Lakemba,09/09/2020
110 room shear Auburn center top of big w and woo6,$1.10,Auburn,09/09/2020
Private room in the middle of the city !!,$275,Darlinghurst,09/09/2020
couple room Sydenham  station),$200,St Peters,09/09/2020
5 Minutes to 2 nearby Beaches - Summer is Coming ! Available Now.,$275,Freshwater,09/09/2020
Room To Let - Close to W/Mall,$300,Brookvale,09/09/2020
281 Anzac Pde Kingsford NSW 2032,$170,Kensington,09/09/2020
Private Room with Own Bathroom Available,$320,Rosebery,09/09/2020
Large quiet fully furnished room in huge apartment includes bills,$240,Greenwich,09/09/2020
Room for rent,$200,Kingsford,09/09/2020
Room for Rent,$160,Edmondson Park,09/09/2020
Rent Double Room,$325,Alexandria,09/09/2020
Room for Rent - Bronte,$300,Bronte,09/09/2020
Single room available.,$230,Canterbury,09/09/2020
Room for rent $115/Person,$115,Harris Park,09/09/2020
**URGENT** FLAT MATE WANTED,$159,Bankstown,09/09/2020
SINGLE fully furnished room at NARWEE-AVAILABLE NOW,$180,Narwee,09/09/2020
Wanted: $200(Own)/$180(Twin) in Neutral Bay,,Neutral Bay,09/09/2020
Single/Double bedroom starts from $130,$180,Epping,09/09/2020
Fully furnished sunny double bed room for rent in Mas,$180,Mascot,09/09/2020
Master Bedroom With Ensuite For Rent,$230,Parramatta,09/09/2020
MASTER BEDROOM WITH ENSUITE,$480,Waterloo,09/09/2020
"Modern en-suite, furnished bright, quiet, very big bedroom",$270,Castle Hill,09/09/2020
Room Sharing 110 dollars inc Bills,$110,Rockdale,09/09/2020
"SYDENHAM, ROOM TO RENT, Close to Train Station",$260,Sydenham,09/09/2020
"Ashfield new house 3 rooms for rent, near station",$220,Ashfield,09/09/2020
Lrg unfurnished 2 bdrm share-flat with Parking Nth Syd CBD,$350,North Sydney,09/09/2020
SHARE ROOM IN BONDI BEACH,$220,Bondi Beach,09/09/2020
Wanted: Burwood Room  for 2 girls or a couple,$300,Burwood,09/09/2020
Private room/shared room/ shared two friends in Mascot (GIRLS ONLY),$300,Mascot,09/09/2020
DOUBLE AND SINGLE ROOM.. AMAIZYNG,,Marrickville,09/09/2020
A big-size en-suit in a beach hose next to the Lagoon,$380,North Narrabeen,09/09/2020
A big-size en-suit in a beach hose next to the Lagoon,$380,North Narrabeen,09/09/2020
Room for Rent in Merrylands,$190,Holroyd,09/09/2020
Private room for rent in Macquarie Park,$240,Marsfield,09/09/2020
City-Ultimo apartment own room for rent ( female only),$160,Ultimo,09/09/2020
Room for rent,$200,Pendle Hill,09/09/2020
Nice Master Room w own private bathroom next to Hyde Park/World Square,$275,Sydney City,09/09/2020
Room to lodge,$220,Bonnyrigg,09/09/2020
***Shared room available in Granville 90$ pwk***,$90,Granville,09/09/2020
Room to let,$240,Kingsford,09/09/2020
Bedsit with kitchenette-share bathroom- $130 +$30 all bills covered,$160,Ashfield,09/09/2020
LARGE ROOM AVAILABLE $200/w all bills included,$200,Artarmon,09/09/2020
Room in great 3BR house Surry Hills/Redfern,$330,Redfern,09/09/2020
House share - own room in Bondi Junction,$160,Waverley,09/09/2020
"2 weeks free! own room for 1 or 2girls or couple,Broadway",$165,Ultimo,09/09/2020
Wanted: Looking To Rent A Garage,,Canterbury,09/09/2020
Newtown Nice big room - Top Location,$190,Newtown,09/09/2020
Room for rent.,$160,Quakers Hill,09/09/2020
Crows Nest - Own Room - Nice House,$140,Crows Nest,09/09/2020
5 bedroom house 3 bathrooms kitchen and living,$300,Annandale,09/09/2020
Affordable room in South Penrith from $155/week,$154,South Penrith,09/09/2020
A Single room available to share with a Muslim Couple,$160,Mount Druitt,09/09/2020
Wanted: Room Available in CAMPSIE,$220,Campsie,09/09/2020
ENFIELD 0ne room $180/w Burwood arae,$180,Enfield,09/09/2020
2 Rooms available in Bankstown with separate bathroom,$160,Sydney City,09/09/2020
Top Ryde Single Bedroom close to Ryde TAFE,$180,Ryde,09/09/2020
A large room for rent in Marsfield Macquarie University,$170,Marsfield,09/09/2020
One comfort room very close to Minchinbury Commercials,$145,Minchinbury,09/09/2020
fully furnished large bedroom in matraville,$220,Matraville,09/09/2020
Room to rent in Banksia,$150,Banksia,09/09/2020
"Nice room in the heart of Neutral Bay, close to everything",$265,Neutral Bay,09/09/2020
Room for Rent - Minto,$240,Minto,09/09/2020
Single Room for rent in Campsie,$220,Campsie,09/09/2020
4/1 shared room available $99 p/w for male only @ chatswood,$99,Chatswood,09/09/2020
Apartment share,$290,Surry Hills,09/09/2020
Room for rent included bills $120,$140,Blacktown,09/09/2020
Bright twin/triple room for rent in Bondi beach,$210,Bondi Beach,09/09/2020
Room for rent in harris park wigram street near station.,$200,Harris Park,09/09/2020
Room For Rent,$200,Waterloo,09/09/2020
"Double room, available in a clean, tidy house. Fully furnished",$340,Glebe,09/09/2020
"Large double room, good location, clean & tidy",$285,Newtown,09/09/2020
Room for rent,$180,Quakers Hill,09/09/2020
Large room for rent near Roseville Station,$200,Lindfield,09/09/2020
Room for rent $185 per week! (internet water electricty included),$185,Ermington,09/09/2020
Wanted: Room for rent 7min walk from Blacktown station,$140,Blacktown,09/09/2020
SINGLE ROOM FOR RENT AT LAKEMBA (BANGLADESHI MUSLIM SINGLE GIRL ONLY ),$180,Lakemba,08/09/2020
Master bedroom available in Wolli Creek,$280,Wolli Creek,08/09/2020
Room for Rent $220 with own Bathroom,$220,Wentworthville,08/09/2020
Double room,$240,Arncliffe,08/09/2020
Room for Rent $220 with own Bathroom,$220,Wentworthville,08/09/2020
Double room,$240,Arncliffe,08/09/2020
Room for a single or couple in Hurstville,$185,Hurstville,08/09/2020
Looking for a girl who would like to share a house,$1,Harris Park,08/09/2020
Private room at Ashfield,$150,Ashfield,08/09/2020
Room for rent in Sevenhills individual or sharing,$95,Seven Hills,08/09/2020
Fantastic room for rent. 7km from city,$219,Pagewood,08/09/2020
room for female.kingsford.apartment.near UNSW,$125,Kingsford,08/09/2020
Fully furnished rooms for rent - 5 mins from Toongabbie station,$160,Toongabbie,08/09/2020
To share a big furnished bedroom,$160,Brookvale,08/09/2020
Room rent Strathfield $230 a week.,$230,Strathfield,08/09/2020
Central. Own room w' balcony. Close to all amenities.,$220,Redfern,08/09/2020
Private room for rent in LANE COVE / Artarmon,$170,Lane Cove,08/09/2020
Large fully furnished room in a Summer Hill share accommodation.,$250,Summer Hill,08/09/2020
Maroubra Junction Single Room for rent,$155,Maroubra,08/09/2020
Private room for rent Lindfield,$300,Lindfield,08/09/2020
Double room for rent,$225,Kingsford,08/09/2020
Room for Rent - ROOTY HILL!,$160,Rooty Hill,08/09/2020
Flat for Sharing for single female ,$150,Lakemba,08/09/2020
En-suite double room in Manly Vale,$275,Manly Vale,08/09/2020
1 Single Bedroom in Maroubra,$289,Maroubra,08/09/2020
2 rooms for rent share with couple,$150,Old Toongabbie,08/09/2020
Room with own separate bathroom for rent,$280,Burwood,08/09/2020
Bedroom for 2 friends or a couple available near city 300$ pyrmont,$150,Ultimo,08/09/2020
Large furnished room in Ingleburn center - 2 min to station,$160,Ingleburn,08/09/2020
Big Room Sharing- 4 minutes walk to Train Station & Grocery,$115,Auburn,08/09/2020
Master room for rent,$300,Rhodes,08/09/2020
Merrylands - Private Furnished Room - 12 mins to Train Station,$140,Merrylands,08/09/2020
Large double loft room to rent in house share,$250,Darlington,08/09/2020
Strathfield furnished room for rent,$180.05,Strathfield,08/09/2020
PRIVATE ROOM AVAILABLE IN ROSEBERY,$270,Rosebery,08/09/2020
Furnished private room at 2-bedroom unit @Taylor Square,$320,Surry Hills,08/09/2020
A BRIGHT CLEAN COUPLE ROOM AVAILABLE IN MERRYLANDS!!!,$220,Merrylands,08/09/2020
"Granny flat for lease , 1 bed room , 1 lounge",$220,Liverpool,08/09/2020
Room Available in 2 Bed place,$280,Dee Why,08/09/2020
Houseshare,,Campbelltown,08/09/2020
Fully Furnished Sunny Room in Erskineville / Newtown,$280,Erskineville,08/09/2020
Room for rent fully furnished ,$135,Macquarie Park,08/09/2020
$160/Wk Campsie room for rent,$160,Burwood,08/09/2020
Penthouse Ensuite at Burwood,$290,Burwood,08/09/2020
2 of big room in middle of Metro.big new house,$200,Merrylands,08/09/2020
Private Room for rent,$220,Wolli Creek,08/09/2020
Single Room,$120,Rockdale,08/09/2020
Room Avaliable for Punjabi girls in Marayong ,$120,Marayong,08/09/2020
Single room in Stanmore NBN,$200,Stanmore,08/09/2020
Room for rent Bondi Beach & 3 mins walking to beach,$210,Bondi Beach,08/09/2020
SINGLE ROOM IN BEAUTIFUL SHARE-HOUSE,$155,Marrickville,08/09/2020
3 ROOMS IN FRIENDLY SHARE-HOUSE,$175,Kingsford,08/09/2020
HUGE DOUBLE ROOM IN SHARE-HOUSE,$215,Marrickville,08/09/2020
HUGE DIVIDED  SHARE/DOUBLE ROOM,$100,Tempe,08/09/2020
DOUBLE ROOM IN SUNNY SHARE-HOUSE,$175,Marrickville,08/09/2020
Sharing house,$210,Newtown,08/09/2020
"Large Double Fully Furnished Ensuite Studio Room, incl All Bills",$220,Petersham,08/09/2020
$350 per week Rent Large Double Room inc WIFI NBN Netflix,$350,St Clair,08/09/2020
3 bedroom unit for rent in Auburn,$550,Auburn,08/09/2020
BEDROOM FOR 2 PEOPLE IN PYRMONT 150$inc all bills,$150,Pyrmont,08/09/2020
Boarding House room for rent in Chatswood,$180,Chatswood,08/09/2020
Cosy room in Lane Cove,$210,Lane Cove,08/09/2020
FULLY FURNISHED ONE BEDROOM FOR SHARING,$175,Surry Hills,08/09/2020
FEMALES SHARED ROOM,$140,Auburn,08/09/2020
2 Bedrooms available.,$170,Guildford,08/09/2020
Private Room,$240,Redfern,08/09/2020
House mate - Drummoyne $300 per week incl bills and internet.,$300,Drummoyne,08/09/2020
Master bedroom for rent Rockdale,$300,Rockdale,08/09/2020
Furnished Room near Gordon Station,$230,Gordon,08/09/2020
Room for rent,$190,Harris Park,08/09/2020
Share Accomodation share home own lockable room,$250,Balgowlah,08/09/2020
second bedroom for rent,$300,Wolli Creek,08/09/2020
Room for Rent - Short Term,$270,Strathfield,08/09/2020
Meadowbank Waterside double room 3mins to Station Close Rhodes,$220,Meadowbank,08/09/2020
ROOM AVAILABLE - ESTATE LIVING HOUSE SHARE,$200,Seven Hills,08/09/2020
Room for rent in Balmain,$165,Balmain,08/09/2020
Room for rent,$120,Riverwood,08/09/2020
Single room 150$,$150,Lidcombe,08/09/2020
"Clean tidy room at Lakemba, 8 min from st.",$150,Lakemba,08/09/2020
"Strathfield, for one female flatmate, own room",$220,Strathfield,08/09/2020
Room For Rent,$180,Harris Park,08/09/2020
Room available for Rent in DEAN PARK 2761,$140,Dean Park,08/09/2020
"Chatswood Furnished Room for Rent , Unlimited internet. incl Bills",$210,Chatswood,08/09/2020
Ryy,$180,Rydalmere,08/09/2020
Looking for flatmate in Ashfield,$165,Ashfield,08/09/2020
Room for rent in Seven Hills,$95,Seven Hills,08/09/2020
Rom for rent,$170,Canterbury,08/09/2020
Room for rent near Lidcombe station,$175,Lidcombe,08/09/2020
Beach  Flat,,Dee Why,08/09/2020
One room for renting in Hurstville,$185,Hurstville,08/09/2020
Room for Rent in Marrickville,$200,Marrickville,08/09/2020
Room to let in Five Dock apartment complex. Comes with own bathroom.,$330,Canada Bay,08/09/2020
Extra large bedroom in the heart of Coogee,$420,Coogee,08/09/2020
Room Available In Campsie,$160,Campsie,08/09/2020
Eastwood room for rent,$170,Eastwood,08/09/2020
Abercrombie street Darlington room avail until 22 Sept $200 pw,$200,Chippendale,08/09/2020
Room for rent,$200,Birrong,08/09/2020
Room For Rent,$200,Wentworthville,08/09/2020
Single Room available for Rent - Belmore NSW,$170,Belmore,08/09/2020
Room on rent,,Seven Hills,08/09/2020
2 rooms Availb. 400m to Train station,$240,Bondi Junction,08/09/2020
Hurstville/ single room for girl/ furnished/ $ 180,$180,Hurstville,08/09/2020
Shared accommodation $100 pw homebush,$100,Strathfield,08/09/2020
Room to rent,$180,Hurstville,08/09/2020
Room Available,$150,Rockdale,08/09/2020
Private furnished room for rent - 4 mins walk to redfern station,$220,Redfern,08/09/2020
Room for rent in Macquarie Park,$220,Macquarie Park,08/09/2020
Grannyflat- 2 spacious bedrooms with own lounge,$300,Canley Vale,08/09/2020
Room for rent,$210,Marayong,08/09/2020
Single room available in Mascot,$240,Rosebery,08/09/2020
Guildford Room For Rent,$150,Guildford,08/09/2020
Eastwood two bedrooms for rent,$150,Eastwood,08/09/2020
Sydney CBD Single and Twin Room looking for 1 or 2 sharemates,$180,Sydney City,08/09/2020
"Fully Furnished♥️StunningnQueenRoom♥️40""LED TV♥️BillsInc☑️ShortTermAva",$260,Glenfield,08/09/2020
SPACIOUS ROOM TO LET NEAR STRATHFIELD STATION,$100,Strathfield,08/09/2020
Person to share 2 bedroom unit,$300,Randwick,08/09/2020
"Stunning, 2 Bedroom Unit & Large Private Courtyard",$750,Chippendale,08/09/2020
Room for rent marrickville $220 a week,$220,Marrickville,08/09/2020
MARSFIELD-LARGE SUNNY ROOM IN QUIET HOUSE FOR RENT-CLOSE TO MQ UNI,$180,Marsfield,08/09/2020
NOT SHARED ACCOMMODATION,$390,Glebe,08/09/2020
Affordable furnished single room in Pyrmont/Darling Harbour,$200,Pyrmont,08/09/2020
Large Private Bedroom in Share House - All Bills Included!,$250,Chippendale,08/09/2020
House share,$150,Merrylands,08/09/2020
Room for rent all bills included pet friendly $180,$170,Minto,08/09/2020
Room for rent all bills included pet friendly $180,$170,Minto,08/09/2020
Room for Rent Single Private $120 Cheap and Clean near Train,$120,Homebush West,08/09/2020
Share unit,$150,Whalan,08/09/2020
Flat share (lakemba ),$220,Lakemba,08/09/2020
Room share,$110,Auburn,08/09/2020
Single Room / 7 Minutes walking to City / 1 Guy,$175,Darlinghurst,08/09/2020
Private room with own bathroom,$240,Penrith,08/09/2020
Large Room Available,$210,Rockdale,08/09/2020
Sunny Double bedroom in KIngsford,$200,Kingsford,08/09/2020
Big independent room in Summer Hill for rent $200 no bills,$200,Summer Hill,08/09/2020
Room at auburn,$120,Auburn,08/09/2020
North Sydney/Waverton share accommodation,$275,North Sydney,08/09/2020
Room available at auburn,$230,Auburn,08/09/2020
1boy student to shareRoom $60/$120pw near train station,$60,Burwood,08/09/2020
Private room with own bathroom,$280,Waterloo,08/09/2020
Furnished rooms. Unit in Kogarah to rent. Share accommodation.,$240,Kogarah,08/09/2020
Master room with a luxury bathroom for lease,$320,Waterloo,08/09/2020
Female Only Furnished room 6 mins walk Eastwood station,$180,Eastwood,08/09/2020
Room to rent,$300,Bondi,08/09/2020
Bedroom for rent,$200,Putney,08/09/2020
Spacious sunroom in PYRMONT (parking available),$190,Pyrmont,08/09/2020
One bedroom fully furnished sharimg room in Hornsby,$150,Hornsby,08/09/2020
Room for rent (Prefer Gujarati-indian),$130,Pendle Hill,08/09/2020
Single room / Double room / Ensuite with closet,$170,Rockdale,08/09/2020
Houseshare,$145,Dee Why,08/09/2020
Second room for share in duplex unit at Campsie,$260,Campsie,08/09/2020
Single room ent in akemba  7 inutes to oolworths,$150,Lakemba,07/09/2020
Share Accommodation St Leonards  $325 per week,$325,St Leonards,07/09/2020
Room for rent,$140,Parramatta,07/09/2020
Room for rent in Parramatta $230 per week,$230,Parramatta,07/09/2020
"BEAUTIFUL New Apartment, Furnished, Bills Incl, FEMALE ONLY",$180,Ultimo,07/09/2020
room for rent with separate bathroom,$230,Wentworthville,07/09/2020
Room Available in Allawah (Nepalese Only),$240,Allawah,07/09/2020
$140 room for rent mount druitt,$140,Dharruk,07/09/2020
Room for rent furnished with bills,$210,Merrylands West,07/09/2020
room for rent,$150,Greenacre,07/09/2020
Room for rent,$165,Eastwood,07/09/2020
Spacious room with en-suite,$300,North Ryde,07/09/2020
Room for rent,$140,Blacktown,07/09/2020
City best single room in world tower for long term rent,$250,Sydney City,07/09/2020
Bedroom for rent,$150,Phegans Bay,07/09/2020
Room for Rent,$230,Auburn,07/09/2020
Chatswood single room 3 mins walk to train no cooking,$160,Chatswood,07/09/2020
Large room at Rockdale bills included,$200,Rockdale,07/09/2020
Room for Rent in Granville,$220,Granville,07/09/2020
Room for share available,$220,Penshurst,07/09/2020
Double bedroom in Marrickville house $210,$210,Marrickville,07/09/2020
Furnished room in a north facing apartment,$300,Wolli Creek,07/09/2020
Double bedroom in Marrickville house $210,$210,Marrickville,07/09/2020
Furnished room in a north facing apartment,$300,Wolli Creek,07/09/2020
Eastwood rooms for rent,$200,Eastwood,07/09/2020
Rooms available for rent,$120,Harris Park,07/09/2020
1 single room for rent,$150,Regents Park,07/09/2020
Affordable flat share in Lakemba,$280,Wiley Park,07/09/2020
No Bond ( Free WiFi Unlimited NBN ),$250,Hillsdale,07/09/2020
room to rent,$210,Kogarah,07/09/2020
Room in Parramatta Available,$250,Parramatta,07/09/2020
Room for Rent in Rockdale (5min walk to station),$200,Rockdale,07/09/2020
A single bedroom with built-in wardrobe for female.,$180,Narwee,07/09/2020
Sunny Well Furnished Room with Own TV Avail Now 😊 $270 all incl.,$270,Neutral Bay,07/09/2020
Room in the Bondi Beach will be available from 17 September!,$300,Bondi Beach,07/09/2020
ROOM AT MAROUBRA,$270,Maroubra,07/09/2020
Need a Nepalese girl to share with another girl  in master bedroom.,$130,Campsie,07/09/2020
"Room in convenient location, bus at door, walking to Lane Cove shops",$230,Lane Cove,07/09/2020
Seven Hills room next to trains & shops,$140,Seven Hills,07/09/2020
Extra large room close to Chatswood shops and station,$230,Chatswood,07/09/2020
A Furnished and Spacious Ensuite Room for Lease in Chatswood $320 P/W,$320,Chatswood,07/09/2020
Room available with separate bathroom,$170,Westmead,07/09/2020
Seven Hills room includes all bills,$110,Seven Hills,07/09/2020
Room for rent,$360,Cronulla,07/09/2020
Unit share,$200,Strathfield,07/09/2020
Rent for private room,$320,Arncliffe,07/09/2020
"Room for rent, Harris Park",$245,Harris Park,07/09/2020
Second room with balcony and own bathroom in CBD,$320,Haymarket,07/09/2020
Room wanted in Exmouth,,Cranebrook,07/09/2020
ROOM NEEDED!!!,,Chatswood West,07/09/2020
Room for rent next to Hurstville train and Westfield Shopping Center,$185,Hurstville,07/09/2020
Macquarie university big bedroom for rent $170/wk,$170,Marsfield,07/09/2020
Excellent Accomodation with facilities !! Females only ,$180,Westmead,07/09/2020
Room for rent,$220,Harris Park,07/09/2020
Bed and meals,$220,Marsfield,07/09/2020
HOUSE TO SHARE: Manly Vale_ 3 bedrooms freestanding house with garden,$350,Manly Vale,07/09/2020
Cheap room for rent ,$150,Lakemba,07/09/2020
Private Room for Rent (Cheapest) - North Strathfield,$170,North Strathfield,07/09/2020
Room for rent at Glebe,$250,Glebe,07/09/2020
BOTANY - Lovely 2 Bed / 2 Bath / 2 Parking - seek person to share,$250,Botany,07/09/2020
kingsford big double room,$230,Kingsford,07/09/2020
Furnished double room for rent!,$350,Crows Nest,07/09/2020
Single room available near Macquarie University,$190,Macquarie Park,07/09/2020
Burwood BM Tower 23 level View Private room  with bathtub,$280,Burwood,07/09/2020
$140 per week room to rent 44 Johnston st Annandale,$140,Croydon,07/09/2020
Rooms for Rent,$250,Marsden Park,07/09/2020
Room for Rent in Large Sunny House,$286,Enmore,07/09/2020
Double Room Includes Bills & Internet in Homebush,$230,Homebush,07/09/2020
Room available in Redfern,$210,Redfern,07/09/2020
Indian male shared room at Parramata $150 all inclusive,$150,Parramatta,07/09/2020
Indian male shared room at Parramata $150 all inclusive,$150,Parramatta,07/09/2020
HouseShare Winston Hills 1 Room Available,$200,Winston Hills,07/09/2020
Room to rent in an amazing huge unit in Surry Hills,$320,Surry Hills,07/09/2020
Looking for a house mate,$140,Bexley,07/09/2020
Stunning fully furnished room. Brand New. Utilities and WIFI included,$200,Bexley,07/09/2020
ATTACHED Granny flat for rent - ALL YOUR OWN SPACE,$280,North Ryde,07/09/2020
1 room for rent near central,$210,Surry Hills,07/09/2020
